adverbGroupScore,adverbAdjectiveGroupScore,verbGroupScore,emoticonScore,emoticonCount,repetitions,exclamations,fractionInCaps,adverbGroupCount,adverbAdjectiveGroupCount,verbGroupCount
0.0,0.0,0.13116685654278218,0.0,0,0,0,0.0,0,0,20
0.0,0.0,-0.19845485530888934,0.0,0,0,0,0.0,0,0,11
0.0,0.0,0.013550230514758769,0.0,0,0,0,0.0,0,0,21
0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,4
0.0,0.0,-0.125,0.0,0,0,0,0.0,0,0,22
0.0,0.0,-0.041666666666666664,0.0,0,1,0,0.0,0,0,6
0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,15
0.0,0.0,0.035104772291496195,0.0,0,0,0,0.0,0,0,20
0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,5
0.0,0.0,0.056818181818181816,0.0,0,0,0,0.0,0,0,7
0.0,0.0,-0.17176966674644484,0.0,0,0,0,0.0,0,0,18
0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,16
0.0,0.0,0.05009953550099536,0.0,0,0,0,0.0,0,0,27
0.0,0.0,0.009581690757774857,0.0,0,1,1,0.0,0,0,19
0.0,0.0,0.18762272659561502,0.0,0,0,0,0.0,0,0,22
0.0,0.0,0.0,0.0,1,0,0,0.0,0,0,5
0.0,0.0,0.0,0.0,0,1,0,0.0,0,0,13
0.0,0.0,0.375,0.0,0,0,2,0.0,0,0,27
0.0,0.0,0.2975,0.0,0,0,0,0.0,0,0,14
0.0,0.0,0.04421768707482994,0.0,0,1,0,0.0,0,0,19
0.0,0.0,0.036148183617287624,0.0,0,0,0,0.0,0,0,25
0.0,0.0,0.005102040816326531,0.0,0,1,0,0.0,0,0,7
0.0,0.0,0.028925619834710748,0.0,1,0,0,0.0,0,0,22
0.0,0.0,-0.023012011277549496,0.0,0,2,0,0.0,0,0,13
0.0,0.0,0.08333333333333333,0.0,0,0,0,0.0,0,0,10
0.0,0.0,-0.017045454545454548,0.0,0,0,1,0.0,0,0,10
0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,7
0.0,0.0,0.08333333333333333,0.0,0,0,0,0.0,0,0,9
0.0,0.0,0.0,0.0,1,0,0,0.0,0,0,4
0.0,0.0,0.30500000000000005,0.0,0,0,4,0.0,0,0,11
0.0,0.0,-0.013154678871686948,0.0,2,0,0,0.0,0,1,27
0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,15
0.0,0.0,0.25,0.0,0,0,1,0.0,0,0,17
0.0,0.0,9.62327131908464E-4,0.0,0,0,0,0.0,0,0,7
0.0,0.0,0.30500000000000005,0.0,1,0,0,0.0,0,0,12
0.0,0.0,-0.43879771392337635,0.0,0,0,1,0.0,0,0,28
0.0,0.0,0.020167785799564054,0.0,0,0,1,0.0,0,0,9
0.001785399038481277,0.0,0.0,0.0,0,0,0,0.0,1,0,9
0.0,0.0,0.0,0.0,1,0,1,0.0,0,0,12
0.0,0.0,0.0,0.0,0,1,3,0.0,0,0,5
0.0,0.0,0.02715326140735589,0.0,0,0,0,0.0,0,0,10
0.0,0.0,0.0,-0.5,1,0,0,0.0,0,0,12
0.0,0.0,-0.0625,0.0,1,0,0,0.0,0,0,2
0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,12
0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,11
0.0,0.0625,0.3541666666666667,0.0,0,1,3,0.0,0,1,14
0.0,-0.2864583333333333,-0.25447117407771086,0.0,0,0,0,0.0,0,1,23
0.0,0.0,0.02510401230278127,0.0,0,1,3,0.0,0,0,16
0.0,0.0,-0.16666666666666666,0.0,0,0,1,0.0,0,0,23
0.0,0.36458333333333337,0.0,0.0,1,0,0,0.0,1,1,11
0.0,0.0,0.0,0.0,0,0,2,0.0,0,1,16
0.0,0.0,0.023226766089183525,0.0,0,0,0,0.0,0,0,21
0.0,-0.09375,0.0,0.0,0,0,1,0.0,0,1,8
0.0,0.0,-0.028409090909090905,0.0,0,0,0,0.0,0,0,30
0.0,0.0,-0.25,0.0,0,0,0,0.0,0,0,15
0.0,0.0,0.030768015753431084,0.0,0,0,0,0.0,0,0,11
0.0,0.0,0.05619153456031665,0.0,0,0,0,0.0,0,0,27
0.0,0.0,0.0,0.0,0,1,3,0.0,0,0,9
0.0,0.0,0.04323350487278352,0.0,0,1,0,0.0,0,0,22
0.0,0.0,-0.23644976948524124,0.0,2,0,0,0.0,0,0,23
0.0,0.0,3.94006674611316E-4,0.0,0,0,0,0.0,0,0,23
0.0,0.0,0.0,0.0,0,2,4,0.0,0,0,4
0.0,0.0,0.0,0.0,1,2,5,0.0,0,1,18
0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,9
0.0,-0.005000000000000001,0.0,0.0,0,0,0,0.0,0,1,10
0.0,0.0,0.017431972789115648,0.0,1,0,0,0.0,1,0,7
0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,9
0.0,0.0034422636672320787,0.09919457543239422,0.0,0,0,1,0.0,0,1,27
0.0,0.0,0.0073002305147588185,0.0,0,0,1,0.0,0,0,13
0.0,0.0,0.017618221047770173,0.0,0,1,0,0.0,0,0,8
0.0,0.0,0.022727272727272728,0.0,0,0,1,0.0,0,0,22
0.0,0.0,0.0,1.0,1,0,0,0.0,0,0,5
